Symbol,Side,Cxl,Qty,Price,Bid,Ask,T-Dat,S-Dat,TradeID,Trade,TiSS,Exbkr,TradeCommType,Source,Commission,Account,OrderID,GTL,TrailerInfo,Clr
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272010,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272021,854300
CERS,SS,NEW,202,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272023,854300
CERS,SS,NEW,98,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272027,854300
CERS,SS,NEW,74,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272189,854300
CERS,SS,NEW,26,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,272197,854300
CERS,SS,NEW,100,2.350000,2.340000,2.350000,06/19/17,06/14/17,1706149900004,11:15:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,36,448173,854300
CERS,SS,NEW,100,2.350000,2.340000,2.350000,06/19/17,06/14/17,1706149900004,11:18:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,20,469512,854300
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,19,478768,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,23,479419,473640
